v1,v2, , , 
INESCRUPULOSO,"No lo sentiria como mio, pero si sentiria algo de lastima, porque algun sufrimiento no se lo desea ni a su enemigo, en mi posicion lo comprenderia.", , , 
INESCRUPULOSO,"Creo que si podría sentir ese sufrimiento, a todos en un momento nos a pasado cosas malas y es inevitable no ponerse en los zapatos de otros pero sin embargo considero que cada persona merece lo que da y si hace el bien entonces obtendrá el bien", , , 
INESCRUPULOSO,Creo que toda persona  ve el beneficio propio antes de pensar en los demás ... no obstante debemos se más empáticos por aquella persona sea enemigo o quien sea poniéndonos en lugar de ellos al igual que ellos a nosotros... Pero solo son luchas de  perspectivas de ambos lados , , , 
INESCRUPULOSO,"Nunca he tenido enemigos. Pero si alguien me hace un mal a propósito, y esa persona sufre por algún factor que no tiene que ver con el problema entre nosotros, entonces no me alegraría ni nada. Y si esa persona necesita mi ayuda de forma sincera, entonces le daría la mano. 3", , , 
NINGUNO,"La verdad es que no sabría como actuar, no tengo enemigos... ", , , 
NINGUNO,Yo pienso que todos somos un mundo diferente pero si me lo preguntaran yo le ayudaría asta donde pueda ya es un ser humano y solo por eso ya que no es otro ser pienso no se ya hay mucha gente q solo mira los hechos, , , 
INESCRUPULOSO,"No podría entender el sufrimiento de esa persona, a solo que experimentemos el mismo sufrimiento, pero esta siempre recordar que si una persona pide tu ayuda, así el problema o sufrimiento no sea tuyo, poder ayudarlo en todo lo que este a tu alcance.", , , 
INESCRUPULOSO,"No he tenido un enemigo real hasta ahora, pero siendo sincera creo que no lo sintiera como mío, y pues dentro de lo que más pueda lo ignoraría pero si tendría que ayudarlo y es algo muy importante si lo haría.", , , 
INESCRUPULOSO,"No podría sentir su dolor como mío, pero sí lo que está pasando es algo grave o fuera del motivo por el cual somos enemigos, si mostraría empatía por él y no desearía que alguien se alegre de mi sufrimiento. ", , , 
INESCRUPULOSO,Inevitablemente sentiría empatía. No podría alegrarme por el sufrimiento de una persona al menos que alguna vez lo haya provocado a mí o a un tercero., , , 
INESCRUPULOSO,"La verdad no, porque capas tiene un sufrimiento muy fuerte, y no podemos sentir eso, lo que haría es ignorar y cambiar el tema ya que, si es mi enemigo quiero una pele justa no aprovecharme de la situación de el.", , , 
NINGUNO,"El hecho que sea mi enemigo no quiera decir que no tenga sentimientos, asi que si se deja ayudar pues lo hago", , , 
INESCRUPULOSO,"No sentiría nada, simplemente si está en mi posibilidad ayudar, lo hago, sino, para la próxima será.", , , 
INESCRUPULOSO,"En lo personal, yo no le tengo rencor a nadie y considero que tampoco tengo enemigos, pero de ser el caso trataría de ayudarlo en lo que pueda tampoco quisiera entrometerme mucho.", , , 
INESCRUPULOSO,Trataría de pensar mucho y ayudaría a la familia con apoyo moral , , , 
INESCRUPULOSO,"Incluso esto se puede ver en los prejuicios de la sociedad, así tu tengas menos que alguien que te envidie, este te seguirá envidiando aún tu estés en la miseria debido a que eres feliz y para la otra persona esto es malo. ", , , 
INESCRUPULOSO,"No tengo ningún enemigo, pero si hablamos en alguna suposición no sintiera nada al respecto, si veo que necesita mi ayuda, lo ayudo porque a pesar de todo somos humanos y cualquier persona puede cometer errores.", , , 
NINGUNO,"En mi opinion , no podria sentirlo como mio, sin embargo soy de las personas que no le desean el mal a nadie y por esa misma razon tampoco lo ignoraria , seria empatica y l@ ayudari@ sin importar lo que sea , estaria mostrando un gesto de humanidad para con el projimo .", , , 
INESCRUPULOSO,"No lo sentiría como mi sufrimiento, sin embargo tampoco sentiría felicidad por la angustia de otra persona, eso no es ser una persona ética", , , 
NINGUNO,"A pesar de lo que lo alla hecho mi enemigo no le desearía ningún mal, así que yo trataría de ponerme en su lugar, en saber por lo que esta pasando con esa persona y si me lo permite, poder brindarle mi apoyo", , , 
INESCRUPULOSO,"No tengo ningún tipo de enemigos, ayudaría a cualquier persona conocida o desconocida sin ningún problema, claro está si esta persona desea mi respectiva ayuda. De lo contrario, de no necesitar o querer mi ayuda, realmente me daría igual.", , , 
NINGUNO,"No le deseo el mal a nadie, si mi peor enemigo sufre por alguna razón, no sentiría ese sufrimiento como mío, pero sí esta en mis posibilidades ayudar a disminuir el sufrimiento lo haría, sin importa el trato que me haya dado anteriormente.", , , 
NINGUNO,"La verdad es que no soy una persona rencorosa y aunque ese persona me haya hecho mucho daño de igual forma intentaría ayudarla, claro si es que esta en mi alcance el poder hacerlo.", , , 
INESCRUPULOSO,"Pienso que actuando en consecuencia, el dolor ajeno se trate de quien se trate es algo malo, en cierto modo pensaria que el karma le estaría devolviendo el daño causado, pero si sentiría algo de tristeza por esa persona.", , , 
INESCRUPULOSO,"Pues no considero a nadie como mi peor enemigo, pero soy de la idea que no debemos desearle el mal a nadie y ante esta pregunta mi pensar es que no lo sentiría como mío pero si me gustaría ayudarlo aunque sea de manera indirecta.", , , 
NINGUNO,"Independientemente del problema que exista entre ambas personas, no está bien alegrarse de un mal sin embargo sería importante recalcar el aprendizaje que dejará este sufrimiento a esa persona.", , , 
INESCRUPULOSO,"No he tenido enemigos, ni espero tenerlos pero en casos así no lo sentiría como si el problema fuera fuera mío, pero si daría un apoyo de fortaleza hacia esa persona que está sufriendo", , , 
NINGUNO,No tanto como mío....pero si sentiría un sentimiento de poder ayudar, , , 
NINGUNO,"Pues dejaría la amargura de lo que haya pasado y sentiría el sufrimiento como si fuera mío, incluso acudiría ayudarle en lo que esté a mi alcance.", , , 
NINGUNO,"No e tenido enemigos , pero a pesar del daño que cometió , no se le desea el mal a nadie , ya que nadie es perfecto , todos en algún momento nos equivocamos ; no sentiría su sufrimiento pero si podría ayudarlo", , , 
INESCRUPULOSO,"No sentiría el dolor como mio...bueno sentiría empatía y si hay algo en lo que lo pueda ayudar lo haría sin ningún problema ya que si a mi me considerarán como ""mi peor enemiga"" no me gustaría que se burlen de esa desgracia.No hagas lo que no quieres que te hagan.", , , 
INESCRUPULOSO,Simplemente no le deseo el mal a nadie pero no disfrutaría ante el sufrimiento de un ser humano pero lo tomaría como un merecido porque todo en esta vida se paga, , , 
INESCRUPULOSO,"No haría nada, prefiero ignorar. A no ser que una situación grave, solo ahí extendería mi mano, pues una cosa es que sea tu enemigo y otra que es que estamos hablando de un ser humano. Pero como no tengo enemigos", , , 
NINGUNO,Son muchas las emociones que existen dentro de nuestros pensamientos y cuando hay alguien en apuros así sea tu peor enemigo necesitamos sentir empatía ya sea por un corto lapso de tiempo., , , 
NINGUNO,"Hay veces en las que no se puede sentir empatía por una persona que de algún modo nos ha hecho daño, sin embargo, creo que esto tampoco implicaría sentir algún tipo de satisfacción por su sufrimiento. Si es muy grave la situación y además esa persona en algún momento llegó a ser ", , , 
NINGUNO,"importante en alguna etapa de mi vida, no me quedaría de brazos cruzados y ayudaría, de otro modo, simplemente lo ignoraría.", , , 
INESCRUPULOSO,"En lo personal. No podría sentir ese sufrimiento del cual esté pasando. Pero de lo que estoy segura, que si necesitaría mi ayuda, se la brindaré. Ya que a veces pasamos por muchas circunstancias y no sabemos quienes podrán ayudarnos. Del quien menos se lo espera.", , , 
NINGUNO,"El agrado o desagrado del dolor de otra persona es un reflejo de lo que está mal en mi, si alguien me hace daño es porque alguien ha agredido a esa persona antes, lo que vemos como venganza es la acción que trata de compensar una perdida, pero ella sólo el duelo la puede superar.", , , 
NINGUNO,"En definitiva no podría sentirlo yo, debido a que cada persona es un mundo diferente, siente y vive a su manera, pero la solidaridad es un valor importante del ser humano y trataría de ayudarlo en lo que necesite, con el pasar del tiempo la vida recompensará cada acto bueno.", , , 
INESCRUPULOSO,"Creo que depende mucho de mi situación con esa persona, tal vez lo que sufre puede ser el famoso “karma” por sus malas acciones no me alegraría por ello pero tampoco lo aplastaría más, dejaría que el solucione sus problemas, pero si esté problema es fuerte si le ayudaría", , , 
INESCRUPULOSO,"Existe una pragmática que dice, que sin la maldad no tuviera lógica la felicidad, alegrarse por el sufrimiento de otro ser humano no es correcto ni ético. Bien se dice en el argot popular, existe un Karma que si hemos hecho mal o bien el tiempo es el único que lo hace pagar.", , , 
NINGUNO,"En los personal no le guardo rencor a nadie, pero dependiendo de la condición en la que se encuentre siempre y cuando no me causen problemas en un futuro, lo tomaría como un sentimiento propio para mi mismo", , , 
INESCRUPULOSO,"Depende de que tipo de sufrimiento sea, por ejemplo si esta sufriendo por alguna enfermedad de algún padre o hermanos entonces lo ayudaría, pero si es un acto que él mismo se provocó y por eso esta sufriendo entonces no lo ayudó para que escarmiente.", , , 
INESCRUPULOSO,"Ignorar, es algo que no haría, porque a pesar de todo lo que a causado sigue siendo una persona igual que nosotros, sin embargo si llego hacerlo me convertiría en mi propio peor enemigo, pero siempre y cuando haya ese perdón mutuo para así poder ofrecer esa ayuda.", , , 
NINGUNO,"No lo sentiría tanto como si fuera mi sufrimiento, pero si tengo la posibilidad de ayudarlo no tendría ningún problema en hacerlo", , , 
INESCRUPULOSO,"Depende mucho de la situación, ya que la causa del sufrimiento puede ser la consecuencia de algún acto negativo realizado por esa persona, si no es así se lo podría ayudar de alguna manera.", , , 
INESCRUPULOSO,"No tengo enemigos y si fuera así, ignoraria lo que le pasa a noser que sea dms fuerte y me pida ayuda, haría lo que esta en mis manos.", , , 
NINGUNO,"Si fuese una persona objetiva y poco rencorosa podría ser empatica con esa persona, sin embargo como ser humano aveces no se controlan esos aspectos, yo creo que dependería de que situación sea la que se esté aconteciendo", , , 
INESCRUPULOSO,"Hoy en día es irrelevante llevar riñas con alguna persona, pues por más daño que me haya hecho alguien no le deseo el mal, es mejor vivir bien con uno mismo a qué llevar rencor en el corazón y el daño que haya hecho tarde o temprano vuelve (karma)", , , 
INESCRUPULOSO,"No sentirlo como mío.. pero de igual manera buscaría ayudarle o simplemente escucharle, en eso está la empatía", , , 
INESCRUPULOSO,"No compartiría el sufrimiento, tampoco me alegraría por su situación, solo lograría asimilar lo ocurrido, si la situación implica ayudar sería de manera indirecta.", , , 
INESCRUPULOSO,Lo sentiría y trataría de ayudarle si es de él/ella dejarse ayudar., , , 
NINGUNO,No quisiera ignorar a mi enemigo ya que aunque los dos seamos enemigos y tengamos diferentes gustos aún así me preocuparía por él aunque también dependiera de Qué tipo de sufrimiento tendría, , , 
NINGUNO,"El sufrimiento  no es algo que se pueda sentir como propio, sin embargo, ser prudente y mostrar sensibilidad es la mejor opción sin importar quien lo pase, es cuestión de empatía y respeto.", , , 
INESCRUPULOSO,"Pues yo digo que aunque sea mi enemigo debería ayudarlo, unque yo diría que necesito que el pase un poco de karma pero tampoco soy haci de vengativa haci que si lo ayudaría.", , , 
INESCRUPULOSO,"Yo no me sentiría feliz o complacido. Pero, por otra parte, tal vez me sentiría bien si fuese algo que se lo merecía. Aunque nunca me diera placer el sufrimiento de alguien más.", , , 
INESCRUPULOSO,No lo puedo sentir como si fuera mi pero si sentiría compacion por el y que pues desiaria que lo que este pasando pues se termine su sufrimiento, , , 
NINGUNO,"Creo q seria una persona medianamente empática ante la situación, no tendría relación con la persona pero no ignoraría ni me burlaría de ello", , , 
INESCRUPULOSO,No le deseo el mal a nadie pero ya en sentido así a mi pensar no kisiera saber d esa persona cambiar del tema, , , 
NINGUNO,Pues dependeria de lo que mi projimo estee pasando. Y de eso actuaria ya que todos somos hermanos antes los ojos de Dios , , , 
NINGUNO,Talvez no sentirlo como mío pero si me cindoleria de su situación  y le ofrecería mi apoyo si lo necesitara, , , 
NINGUNO,"Todo dependería de la clase de sufrimiento que estaría pasando, porque si es la pérdida de un ser querido obviamente sentiría su dolor.", , , 
INESCRUPULOSO,Dependiendo si mi enemigo es malo en tonces nesesita aprender de las consecuencias para que cambie algo de en su personalidad. Caso contrario el sufrimiento no se los desearía a nadie., , , 
INESCRUPULOSO,"Respeto genera respeto, simplemente me mantendría al margen, pero si necesita mi ayuda lo apoyaría porque tampoco sería tan inhumano, a la final nunca sabes las vueltas que puede dar la vida, y en algún momento tendrás que necesitar de esa persona.", , , 
INESCRUPULOSO,"Puede ser, pero influyen muchos factores ya que se puede concidera las circunstancia en la que ocurren las sircustancia es decir si se lo métrica o no, porque depues de todo sigue siendo humano", , , 
INESCRUPULOSO,"Pues la verdad, no lo sentiría como mío pero tampoco sería insensible, lo ayudaría para mostrarle que ante cualquier problema existe bondad y que se puede cambiar", , , 
NINGUNO,"No tengo enemigo. Pero si lo tuviera  no sentiría el mismo dolor que el siente  pero intentaría ayudarlo en lo que pueda aunque me allá hecho algún  mal todos cometemos errores y tenemos defectos pero lo más importante es saber reconerlos, aprender de ellos y  saber perdonar.", , , 
INESCRUPULOSO,"Nadie puede sentir el sufrimiento de alguien más, por mas que intente ponerse en su lugar , ya que los sentimientos son diferentes en cada ser. Asi que no podria imaginarme como podría estar sintiendose, si necesita ayuda se la brindaría y sino tiene que ver conmigo,no me metería", , , 
INESCRUPULOSO,Es un tema muy delicado, , , 
INESCRUPULOSO,"Probablemente no lo sienta como mío, pero trataría de ser empática con él/ella, si se encuentra sufriendo por algo que puedo tener la solución en mis manos y lo puedo ayudar lo hago, si no, lamentablemente, me haría de lado.", , , 
INESCRUPULOSO,"Creo que no hay que desearle el mal a nadie, así esa persona sea tu peor enemigo. No podría llegar a sentir su sufrimiento como mío pero aún así el poder de la empatía me haría sentir algo por lo que buscaría ayudarla.", , , 
NINGUNO,"Dependiendo el tipo de enemigo, pues en la mayoría de los casos más desagradables vendría no ignorar el tema si mi enemistad fué de algo irracional y como seres humano debemos ayudarnos.", , , 
